Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41
SRR22134168_1_paired	(36, 11272.0)	(37, 12101.0)	(38, 11775.0)	(39, 12622.0)	(40, 13405.0)	(41, 13718.0)	(42, 14388.0)	(43, 15257.0)	(44, 16597.0)	(45, 18701.0)	(46, 21810.0)	(47, 24242.0)	(48, 25896.0)	(49, 25989.0)	(50, 25165.0)	(51, 25004.0)	(52, 23701.0)	(53, 22030.0)	(54, 19538.0)	(55, 16899.0)	(56, 15552.0)	(57, 14009.0)	(58, 12659.0)	(59, 11897.0)	(60, 11153.0)	(61, 10681.0)	(62, 9815.0)	(63, 9688.0)	(64, 9488.0)	(65, 9441.0)	(66, 9710.0)	(67, 9829.0)	(68, 10355.0)	(69, 9855.0)	(70, 10931.0)	(71, 32293.0)	(72, 110999.0)	(73, 560522.0)	(74, 1895250.0)	(75, 6298142.0)	(76, 16416498.0)	
SRR22134168_2	(62, 1.0)	(63, 7.0)	(64, 46.0)	(65, 236.0)	(66, 1005.0)	(67, 649.0)	(68, 1037.0)	(69, 484.0)	(70, 2514.0)	(71, 25532.0)	(72, 108687.0)	(73, 632463.0)	(74, 1916966.0)	(75, 6569312.0)	(76, 18612641.0)																											
SRR22134168_2_paired	(36, 32553.0)	(37, 34445.0)	(38, 33566.0)	(39, 32230.0)	(40, 33458.0)	(41, 33138.0)	(42, 31764.0)	(43, 33295.0)	(44, 32895.0)	(45, 32245.0)	(46, 31689.0)	(47, 30722.0)	(48, 30887.0)	(49, 30865.0)	(50, 30229.0)	(51, 29107.0)	(52, 29833.0)	(53, 29265.0)	(54, 28456.0)	(55, 29000.0)	(56, 29101.0)	(57, 29519.0)	(58, 29214.0)	(59, 28763.0)	(60, 29614.0)	(61, 30846.0)	(62, 31524.0)	(63, 31403.0)	(64, 33336.0)	(65, 33294.0)	(66, 33864.0)	(67, 33881.0)	(68, 35922.0)	(69, 34750.0)	(70, 37458.0)	(71, 61629.0)	(72, 147919.0)	(73, 664760.0)	(74, 1904016.0)	(75, 6093853.0)	(76, 15864569.0)	
SRR22134169_1	(61, 1.0)	(62, 2.0)	(63, 4.0)	(64, 21.0)	(65, 229.0)	(66, 978.0)	(67, 572.0)	(68, 1748.0)	(69, 605.0)	(70, 1765.0)	(71, 17902.0)	(72, 83884.0)	(73, 621291.0)	(74, 2028701.0)	(75, 6424817.0)	(76, 18800233.0)																										
SRR22134169_1_paired	(36, 11676.0)	(37, 12745.0)	(38, 13150.0)	(39, 14038.0)	(40, 14080.0)	(41, 15146.0)	(42, 15822.0)	(43, 16556.0)	(44, 17736.0)	(45, 19963.0)	(46, 21849.0)	(47, 24268.0)	(48, 26085.0)	(49, 26969.0)	(50, 26550.0)	(51, 25541.0)	(52, 24664.0)	(53, 23994.0)	(54, 21493.0)	(55, 18791.0)	(56, 17313.0)	(57, 15151.0)	(58, 13830.0)	(59, 12689.0)	(60, 11721.0)	(61, 11133.0)	(62, 10945.0)	(63, 10610.0)	(64, 10275.0)	(65, 10361.0)	(66, 11122.0)	(67, 11099.0)	(68, 12419.0)	(69, 11577.0)	(70, 12597.0)	(71, 27763.0)	(72, 90741.0)	(73, 612903.0)	(74, 1972927.0)	(75, 6203723.0)	(76, 16962851.0)	
SRR22134169_2	(63, 7.0)	(64, 40.0)	(65, 265.0)	(66, 1190.0)	(67, 873.0)	(68, 3046.0)	(69, 656.0)	(70, 2066.0)	(71, 19829.0)	(72, 92849.0)	(73, 428672.0)	(74, 1763840.0)	(75, 6799971.0)	(76, 18869449.0)																												
SRR22134169_2_paired	(36, 21048.0)	(37, 21985.0)	(38, 21459.0)	(39, 21437.0)	(40, 23250.0)	(41, 22557.0)	(42, 22984.0)	(43, 23589.0)	(44, 25367.0)	(45, 24467.0)	(46, 26534.0)	(47, 26651.0)	(48, 27388.0)	(49, 26927.0)	(50, 27162.0)	(51, 27043.0)	(52, 27176.0)	(53, 26467.0)	(54, 27015.0)	(55, 25339.0)	(56, 24912.0)	(57, 25708.0)	(58, 24614.0)	(59, 24425.0)	(60, 23998.0)	(61, 24209.0)	(62, 23677.0)	(63, 22993.0)	(64, 24141.0)	(65, 22334.0)	(66, 24205.0)	(67, 23392.0)	(68, 26065.0)	(69, 22793.0)	(70, 24758.0)	(71, 43438.0)	(72, 117980.0)	(73, 454526.0)	(74, 1747978.0)	(75, 6375402.0)	(76, 16847473.0)	
SRR22134170_1	(63, 20.0)	(64, 68.0)	(65, 357.0)	(66, 1498.0)	(67, 1065.0)	(68, 2208.0)	(69, 1006.0)	(70, 3036.0)	(71, 93482.0)	(72, 188714.0)	(73, 807035.0)	(74, 2476637.0)	(75, 7826052.0)	(76, 23608563.0)																												
SRR22134170_1_paired	(36, 6051.0)	(37, 6658.0)	(38, 6458.0)	(39, 6834.0)	(40, 6818.0)	(41, 7046.0)	(42, 6915.0)	(43, 6993.0)	(44, 7431.0)	(45, 7831.0)	(46, 8512.0)	(47, 9314.0)	(48, 9567.0)	(49, 9709.0)	(50, 9480.0)	(51, 9525.0)	(52, 9126.0)	(53, 8770.0)	(54, 8063.0)	(55, 7436.0)	(56, 6919.0)	(57, 6194.0)	(58, 5923.0)	(59, 5548.0)	(60, 5170.0)	(61, 4968.0)	(62, 4980.0)	(63, 4899.0)	(64, 5022.0)	(65, 5117.0)	(66, 6277.0)	(67, 5955.0)	(68, 7190.0)	(69, 6145.0)	(70, 8114.0)	(71, 95892.0)	(72, 185590.0)	(73, 773737.0)	(74, 2343535.0)	(75, 7444241.0)	(76, 21680810.0)	
SRR22134170_2	(63, 15.0)	(64, 66.0)	(65, 400.0)	(66, 1688.0)	(67, 1283.0)	(68, 3140.0)	(69, 1019.0)	(70, 3113.0)	(71, 29797.0)	(72, 130041.0)	(73, 548501.0)	(74, 2315742.0)	(75, 7899951.0)	(76, 24074985.0)																												
