Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR22134168_1_paired	(1.0, 40.587515401937054)	(2.0, 13.965902731048693)	(3.0, 5.9957055142411075)	(4.0, 3.517316181645475)	(5.0, 2.392735732879174)	(6.0, 1.8114033013214583)	(7.0, 1.3822309096856)	(8.0, 1.0989163195430882)	(9.0, 0.9762571421485708)	('>10', 11.227562330654228)	('>50', 3.4056793551483007)	('>100', 6.538123320165335)	('>500', 2.22439395013826)	('>1k', 3.41474786020136)	('>5k', 0.444746047928005)	('>10k+', 1.0167639013143326)
SRR22134168_2	(1.0, 46.748271979285526)	(2.0, 13.043787168951864)	(3.0, 5.61076284622152)	(4.0, 3.200491838743909)	(5.0, 2.1254846304314654)	(6.0, 1.6260129795146836)	(7.0, 1.3232243129752046)	(8.0, 1.0994151505740568)	(9.0, 0.9087349379269739)	('>10', 10.369841231938217)	('>50', 3.0816861430393296)	('>100', 5.8966097899882355)	('>500', 1.9047037052059554)	('>1k', 2.793075388662545)	('>5k', 0.2252257667598773)	('>10k+', 0.04267212978080234)
SRR22134168_2_paired	(1.0, 44.304605482089826)	(2.0, 13.64245562477045)	(3.0, 5.88131110878461)	(4.0, 3.35288374996717)	(5.0, 2.1907593910267193)	(6.0, 1.7366571875613461)	(7.0, 1.4004435125341836)	(8.0, 1.145353482975917)	(9.0, 0.991687683849911)	('>10', 10.762119164333944)	('>50', 3.242450109692703)	('>100', 6.168197069483873)	('>500', 2.0103697132030804)	('>1k', 2.907960622708146)	('>5k', 0.21768875265921867)	('>10k+', 0.045057344358984265)
SRR22134169_1	(1.0, 24.818690704276737)	(2.0, 11.159940491740212)	(3.0, 5.592571356136058)	(4.0, 3.3002334801246382)	(5.0, 2.2151836004379453)	(6.0, 1.717613349692758)	(7.0, 1.4329059784440117)	(8.0, 1.1836777706089952)	(9.0, 1.0543908087996565)	('>10', 13.655532849967228)	('>50', 4.970537840214357)	('>100', 9.720126972746288)	('>500', 3.6540395758691195)	('>1k', 6.944981325674908)	('>5k', 2.814716853302303)	('>10k+', 5.764857041964581)
SRR22134169_1_paired	(1.0, 24.903726126830268)	(2.0, 11.344627606584448)	(3.0, 5.6827527262842805)	(4.0, 3.3227576411622217)	(5.0, 2.2514987356994793)	(6.0, 1.7242511581468543)	(7.0, 1.4638487303012842)	(8.0, 1.2028746520604066)	(9.0, 1.0974277569021973)	('>10', 13.853626088084232)	('>50', 5.008073378188691)	('>100', 9.694075483894734)	('>500', 3.689759641277131)	('>1k', 7.2496294939408585)	('>5k', 2.841196861594906)	('>10k+', 4.669873919048024)
SRR22134169_2	(1.0, 30.381104116176942)	(2.0, 11.092526067952535)	(3.0, 5.437094356016179)	(4.0, 3.234564322138637)	(5.0, 2.274034513020788)	(6.0, 1.7276897829150206)	(7.0, 1.3782678903392196)	(8.0, 1.165762930916944)	(9.0, 1.0137977899942474)	('>10', 13.357356330388779)	('>50', 4.735667485672692)	('>100', 9.048373344807258)	('>500', 3.2976365412037003)	('>1k', 6.424301591098966)	('>5k', 2.5148850722431235)	('>10k+', 2.916937865115194)
SRR22134169_2_paired	(1.0, 28.31670141022241)	(2.0, 11.39677210871825)	(3.0, 5.568105321780736)	(4.0, 3.322301314626233)	(5.0, 2.3241287262448824)	(6.0, 1.753598103083821)	(7.0, 1.4126196460620162)	(8.0, 1.1856050448557813)	(9.0, 1.0429854896928348)	('>10', 13.758875415290458)	('>50', 4.873667189638153)	('>100', 9.374150339890432)	('>500', 3.443033519483481)	('>1k', 6.6702905244824455)	('>5k', 2.646152854966158)	('>10k+', 2.9110129909619498)
SRR22134170_1	(1.0, 33.154352256874795)	(2.0, 14.073608536627097)	(3.0, 7.105885357935151)	(4.0, 4.2717059118693275)	(5.0, 3.0266996596942524)	(6.0, 2.2069958865471433)	(7.0, 1.8639238239099651)	(8.0, 1.4750916666359193)	(9.0, 1.2580015979758072)	('>10', 13.937783462917869)	('>50', 3.9537571287925446)	('>100', 7.404324496566233)	('>500', 2.2156600985484576)	('>1k', 3.1215862001126986)	('>5k', 0.26504052749939444)	('>10k+', 0.665583387493416)
SRR22134170_1_paired	(1.0, 33.6087128237999)	(2.0, 14.297116359597728)	(3.0, 7.134688686755009)	(4.0, 4.247636323914619)	(5.0, 3.009037037247996)	(6.0, 2.2471485905766313)	(7.0, 1.841723089484447)	(8.0, 1.4805094344758307)	(9.0, 1.230999170206872)	('>10', 13.91063559199085)	('>50', 3.8774156237930386)	('>100', 7.360920286263756)	('>500', 2.1455926376270114)	('>1k', 3.065985990366315)	('>5k', 0.14921022968191913)	('>10k+', 0.3926681242180778)
SRR22134170_2	(1.0, 40.22637281512155)	(2.0, 13.507680681168551)	(3.0, 6.552816298869953)	(4.0, 3.9330942039448993)	(5.0, 2.700028413137506)	(6.0, 2.1257615613051017)	(7.0, 1.5969501478177994)	(8.0, 1.378524702788465)	(9.0, 1.0862003121874744)	('>10', 12.427548022902842)	('>50', 3.5745164750752303)	('>100', 6.298934637027788)	('>500', 1.8034878759799347)	('>1k', 2.625502355019183)	('>5k', 0.08609951479373686)	('>10k+', 0.07648198286000504)
SRR22134170_2_paired	(1.0, 38.04608766449834)	(2.0, 14.123279929752833)	(3.0, 6.73838446016196)	(4.0, 4.048892170281006)	(5.0, 2.7852017756977077)	(6.0, 2.20536788886069)	(7.0, 1.6555410887554862)	(8.0, 1.4052126210099942)	(9.0, 1.1208578783781795)	('>10', 12.887836234203196)	('>50', 3.71516690405599)	('>100', 6.543230615120097)	('>500', 1.876755809280259)	('>1k', 2.6780806649768074)	('>5k', 0.09039429046461002)	('>10k+', 0.07971000450280148)
SRR22134171_1	(1.0, 22.13180463916505)	(2.0, 17.368801372622883)	(3.0, 12.04723411845627)	(4.0, 7.570119822769718)	(5.0, 4.778481652957262)	(6.0, 3.074779263169251)	(7.0, 2.0022487720452147)	(8.0, 1.490017855203607)	(9.0, 1.1334535930609284)	('>10', 8.620098908028117)	('>50', 2.4546116382913636)	('>100', 5.547187257942319)	('>500', 2.322368904189227)	('>1k', 4.742187296154634)	('>5k', 0.7353744168788013)	('>10k+', 3.9812304890651733)
SRR22134171_1_paired	(1.0, 22.532432937448093)	(2.0, 18.11501792814734)	(3.0, 12.483066254366271)	(4.0, 7.7045014841959025)	(5.0, 4.731141229595096)	(6.0, 3.0417213030327197)	(7.0, 1.9907713557205675)	(8.0, 1.4669583537283066)	(9.0, 1.1005511770837517)	('>10', 8.601869732048344)	('>50', 2.471901432309679)	('>100', 5.633742766965583)	('>500', 2.293314741092014)	('>1k', 4.940449255952085)	('>5k', 0.7015096006016301)	('>10k+', 2.1910504477126733)
SRR22134171_2	(1.0, 29.423540973135324)	(2.0, 17.80804390966435)	(3.0, 11.725260714682923)	(4.0, 7.054080785000226)	(5.0, 4.353537643432958)	(6.0, 2.751782563920877)	(7.0, 1.8683590712625369)	(8.0, 1.3235668978680415)	(9.0, 0.9945844136578517)	('>10', 8.25633094073199)	('>50', 2.288737497919498)	('>100', 5.123537536348899)	('>500', 2.1070624111122833)	('>1k', 4.19508665363001)	('>5k', 0.4517773787247036)	('>10k+', 0.27471060890740917)
SRR22134171_2_paired	(1.0, 26.72961433839936)	(2.0, 18.62322351408472)	(3.0, 12.17392005218799)	(4.0, 7.329768345123791)	(5.0, 4.474997207575457)	(6.0, 2.8344434763041644)	(7.0, 1.9310764453207305)	(8.0, 1.3551028819702338)	(9.0, 1.0149508171756214)	('>10', 8.528507060849726)	('>50', 2.383638561959144)	('>100', 5.358092188684298)	('>500', 2.2059480760060506)	('>1k', 4.34692395460646)	('>5k', 0.4715699128941371)	('>10k+', 0.2382231668581636)
SRR22134172_1	(1.0, 40.58414531290046)	(2.0, 16.16739254856305)	(3.0, 7.290419496639297)	(4.0, 3.7625546457962296)	(5.0, 2.414270073474901)	(6.0, 1.7033978921389274)	(7.0, 1.2881220318746949)	(8.0, 1.0261959305374497)	(9.0, 0.8665158684706126)	('>10', 8.92949716261379)	('>50', 2.8396338325625328)	('>100', 5.137938276660963)	('>500', 1.7189952526354562)	('>1k', 3.197402129672312)	('>5k', 1.202296473408595)	('>10k+', 1.8712230720507261)
SRR22134172_1_paired	(1.0, 41.29008955587465)	(2.0, 16.271059678544116)	(3.0, 7.228018402787516)	(4.0, 3.7086341056755283)	(5.0, 2.3935060923632885)	(6.0, 1.6588150348812039)	(7.0, 1.2568608207921523)	(8.0, 0.9980853755728112)	(9.0, 0.8762047370152886)	('>10', 8.934017173209988)	('>50', 2.821603621316968)	('>100', 5.17349275221404)	('>500', 1.7350335019578402)	('>1k', 3.3657457724697486)	('>5k', 1.2035290870286293)	('>10k+', 1.0853042882964137)
SRR22134172_2	(1.0, 46.55254575613096)	(2.0, 15.529484273355504)	(3.0, 6.572744924069232)	(4.0, 3.4845834277361645)	(5.0, 2.2029448790158543)	(6.0, 1.5514217802865535)	(7.0, 1.1571296858229616)	(8.0, 0.9130171545390546)	(9.0, 0.7345458058090161)	('>10', 8.304723760787267)	('>50', 2.54200678268071)	('>100', 4.670453977178113)	('>500', 1.4720612263242627)	('>1k', 2.999990723240313)	('>5k', 1.019308955276991)	('>10k+', 0.29303688774707404)
SRR22134172_2_paired	(1.0, 44.82567220973604)	(2.0, 16.078605465756596)	(3.0, 6.791934242852131)	(4.0, 3.545977715185786)	(5.0, 2.266827786934713)	(6.0, 1.5999036565741513)	(7.0, 1.1646549011471752)	(8.0, 0.9459841976853842)	(9.0, 0.7599620143148296)	('>10', 8.566371028332377)	('>50', 2.643381013109038)	('>100', 4.827933755011848)	('>500', 1.5173616908287844)	('>1k', 3.097173811229315)	('>5k', 1.061901234094362)	('>10k+', 0.3063552772073479)
